condition,mode,noise_type,rms_ratio,seed,success,episodes,success_rate,env_task
spotforming,0,white,0.0,0,71,100,0.71,soundDiff-m4-f10-s2-p0-no0-ni0.0
spotforming,0,white,0.0,1,65,100,0.65,soundDiff-m4-f10-s2-p0-no0-ni0.0
spotforming,0,white,0.0,2,77,100,0.77,soundDiff-m4-f10-s2-p0-no0-ni0.0
spotforming,0,opposite,0.0,0,71,100,0.71,soundDiff-m4-f10-s2-p0-no0-ni0.0
spotforming,0,opposite,0.0,1,65,100,0.65,soundDiff-m4-f10-s2-p0-no0-ni0.0
spotforming,0,opposite,0.0,2,77,100,0.77,soundDiff-m4-f10-s2-p0-no0-ni0.0
spotforming,0,white,0.25,0,59,100,0.59,soundDiff-m4-f10-s2-p0-no0-ni0.25
spotforming,0,white,0.25,1,61,100,0.61,soundDiff-m4-f10-s2-p0-no0-ni0.25
spotforming,0,white,0.25,2,49,100,0.49,soundDiff-m4-f10-s2-p0-no0-ni0.25
spotforming,0,opposite,0.25,0,59,100,0.59,soundDiff-m4-f10-s2-p0-no0-ni0.25-nopp
spotforming,0,opposite,0.25,1,65,100,0.65,soundDiff-m4-f10-s2-p0-no0-ni0.25-nopp
spotforming,0,opposite,0.25,2,56,100,0.56,soundDiff-m4-f10-s2-p0-no0-ni0.25-nopp
spotforming,0,white,0.5,0,49,100,0.49,soundDiff-m4-f10-s2-p0-no0-ni0.5
spotforming,0,white,0.5,1,68,100,0.68,soundDiff-m4-f10-s2-p0-no0-ni0.5
spotforming,0,white,0.5,2,38,100,0.38,soundDiff-m4-f10-s2-p0-no0-ni0.5
spotforming,0,opposite,0.5,0,65,100,0.65,soundDiff-m4-f10-s2-p0-no0-ni0.5-nopp
spotforming,0,opposite,0.5,1,67,100,0.67,soundDiff-m4-f10-s2-p0-no0-ni0.5-nopp
spotforming,0,opposite,0.5,2,41,100,0.41,soundDiff-m4-f10-s2-p0-no0-ni0.5-nopp
spotforming,0,white,0.75,0,55,100,0.55,soundDiff-m4-f10-s2-p0-no0-ni0.75
spotforming,0,white,0.75,1,51,100,0.51,soundDiff-m4-f10-s2-p0-no0-ni0.75
spotforming,0,white,0.75,2,38,100,0.38,soundDiff-m4-f10-s2-p0-no0-ni0.75
spotforming,0,opposite,0.75,0,57,100,0.57,soundDiff-m4-f10-s2-p0-no0-ni0.75-nopp
spotforming,0,opposite,0.75,1,64,100,0.64,soundDiff-m4-f10-s2-p0-no0-ni0.75-nopp
spotforming,0,opposite,0.75,2,49,100,0.49,soundDiff-m4-f10-s2-p0-no0-ni0.75-nopp
spotforming,0,white,1.0,0,59,100,0.59,soundDiff-m4-f10-s2-p0-no0-ni1.0
spotforming,0,white,1.0,1,40,100,0.4,soundDiff-m4-f10-s2-p0-no0-ni1.0
spotforming,0,white,1.0,2,28,100,0.28,soundDiff-m4-f10-s2-p0-no0-ni1.0
spotforming,0,opposite,1.0,0,54,100,0.54,soundDiff-m4-f10-s2-p0-no0-ni1.0-nopp
spotforming,0,opposite,1.0,1,55,100,0.55,soundDiff-m4-f10-s2-p0-no0-ni1.0-nopp
spotforming,0,opposite,1.0,2,42,100,0.42,soundDiff-m4-f10-s2-p0-no0-ni1.0-nopp
spotforming,0,white,1.25,0,52,100,0.52,soundDiff-m4-f10-s2-p0-no0-ni1.25
spotforming,0,white,1.25,1,40,100,0.4,soundDiff-m4-f10-s2-p0-no0-ni1.25
