condition,mode,noise_type,rms_ratio,n_seeds,mean,std
spotforming,0,opposite,0.0,3,0.7100,0.0600
spotforming,0,opposite,0.25,3,0.6000,0.0458
spotforming,0,opposite,0.5,3,0.5767,0.1447
spotforming,0,opposite,0.75,3,0.5667,0.0751
spotforming,0,opposite,1.0,3,0.5033,0.0723
spotforming,0,opposite,1.25,3,0.4433,0.1041
spotforming,0,opposite,1.5,3,0.4367,0.1457
spotforming,0,white,0.0,3,0.7100,0.0600
spotforming,0,white,0.25,3,0.5633,0.0643
spotforming,0,white,0.5,3,0.5167,0.1518
spotforming,0,white,0.75,3,0.4800,0.0889
spotforming,0,white,1.0,3,0.4233,0.1563
spotforming,0,white,1.25,3,0.3667,0.1724
spotforming,0,white,1.5,3,0.3033,0.1909
single_mic,1,opposite,0.0,3,0.7100,0.0529
single_mic,1,opposite,0.25,3,0.5300,0.0700
single_mic,1,opposite,0.5,3,0.4467,0.0737
single_mic,1,opposite,0.75,3,0.3400,0.0400
single_mic,1,opposite,1.0,3,0.3333,0.0208
single_mic,1,opposite,1.25,3,0.2900,0.0100
single_mic,1,opposite,1.5,3,0.3733,0.0351
single_mic,1,white,0.0,3,0.7100,0.0529
single_mic,1,white,0.25,3,0.4367,0.1242
single_mic,1,white,0.5,3,0.4367,0.1266
single_mic,1,white,0.75,3,0.3800,0.1308
single_mic,1,white,1.0,3,0.2800,0.1229
single_mic,1,white,1.25,3,0.2967,0.0666
single_mic,1,white,1.5,3,0.2833,0.0643
average,2,opposite,0.0,3,0.8167,0.0577
average,2,opposite,0.25,3,0.5833,0.0702
average,2,opposite,0.5,3,0.4400,0.0436
average,2,opposite,0.75,3,0.3867,0.0252
average,2,opposite,1.0,3,0.3533,0.0231
average,2,opposite,1.25,3,0.4000,0.0361
average,2,opposite,1.5,3,0.3567,0.0289
average,2,white,0.0,3,0.8167,0.0577
average,2,white,0.25,3,0.5100,0.1562
average,2,white,0.5,3,0.4000,0.0872
average,2,white,0.75,3,0.3200,0.0819
average,2,white,1.0,3,0.3200,0.0854
average,2,white,1.25,3,0.3300,0.0200
average,2,white,1.5,3,0.3267,0.0907
